ev,het,datum,sz1,sz2,sz3,sz4,sz5
2020,7,2020.02.15.,28,41,52,57,86
2020,6,2020.02.08.,6,22,49,64,65
2020,5,2020.02.01.,5,18,63,76,80
2020,4,2020.01.25.,3,8,23,51,56
2020,3,2020.01.18.,18,23,56,57,73
2020,2,2020.01.11.,48,54,63,82,88
2020,1,2020.01.04.,4,27,53,67,68
2019,52,2019.12.28.,31,44,46,71,84
2019,51,2019.12.21.,2,29,53,70,82
2019,50,2019.12.14.,28,34,54,62,84
2019,49,2019.12.07.,15,17,63,72,90
2019,48,2019.11.30.,9,15,29,49,83
2019,47,2019.11.23.,5,20,67,71,83
2019,46,2019.11.16.,17,19,37,61,70
2019,45,2019.11.09.,4,6,10,45,59
2019,44,2019.11.02.,11,12,49,64,68
2019,43,2019.10.26.,17,20,41,45,85
2019,42,2019.10.19.,2,14,24,36,54
2019,41,2019.10.12.,9,29,56,70,82
2019,40,2019.10.05.,14,33,60,78,83
2019,39,2019.09.28.,14,31,39,41,71
2019,38,2019.09.21.,35,59,74,83,89
2019,37,2019.09.14.,40,62,63,75,83
2019,36,2019.09.07.,4,10,21,45,81
2019,35,2019.08.31.,28,41,43,44,46
2019,34,2019.08.24.,4,12,16,39,90
2019,33,2019.08.17.,1,15,61,79,87
2019,32,2019.08.10.,24,37,40,43,50
2019,31,2019.08.03.,15,21,67,75,81
2019,30,2019.07.27.,16,25,26,50,75
2019,29,2019.07.20.,12,21,24,33,88
2019,28,2019.07.13.,1,6,27,28,54
2019,27,2019.07.06.,27,32,37,73,85
2019,26,2019.06.29.,4,10,24,55,77
2019,25,2019.06.22.,1,12,16,43,56
2019,24,2019.06.15.,22,28,59,72,89
2019,23,2019.06.08.,26,31,35,65,87
2019,22,2019.06.01.,1,23,29,58,84
2019,21,2019.05.25.,22,33,47,51,66
2019,20,2019.05.18.,1,15,25,46,63
2019,19,2019.05.11.,6,22,71,88,90
2019,18,2019.05.04.,11,30,36,67,83
2019,17,2019.04.27.,1,14,68,75,76
2019,16,2019.04.20.,14,21,53,60,90
2019,15,2019.04.13.,6,27,31,47,84
2019,14,2019.04.06.,17,45,53,86,87
2019,13,2019.03.30.,15,20,22,28,65
2019,12,2019.03.23.,7,17,42,53,76
2019,11,2019.03.16.,4,13,58,74,79
2019,10,2019.03.09.,3,27,72,75,78
2019,9,2019.03.02.,32,55,61,73,88
2019,8,2019.02.23.,11,27,46,48,87
2019,7,2019.02.16.,37,38,58,59,68
2019,6,2019.02.09.,2,8,18,25,65
2019,5,2019.02.02.,8,24,38,68,78
2019,4,2019.01.26.,45,67,79,86,88
2019,3,2019.01.19.,3,17,34,50,89
2019,2,2019.01.12.,5,7,36,76,82
2019,1,2019.01.05.,4,8,25,57,65
2018,52,2018.12.29.,3,18,43,55,74
2018,51,2018.12.22.,16,26,28,46,49
2018,50,2018.12.15.,4,7,47,53,75
2018,49,2018.12.08.,1,25,26,50,66
2018,48,2018.12.01.,24,45,54,65,76
2018,47,2018.11.24.,12,19,20,43,61
2018,46,2018.11.17.,3,64,73,78,84
2018,45,2018.11.10.,15,18,22,33,90
2018,44,2018.11.03.,15,70,76,77,87
